rp(A),fof_Na,fof_Cl,(fof_Na+fof_Cl/)2,fof_Ow
0,1,1,1,1
0.1,1,1,1,1
0.2,1,1,1,1
0.3,1,1,1,1
0.4,1,1,1,1
0.5,1,1,1,1
0.6,1,1,1,1
0.7,1,1,1,1
0.8,1,1,1,1
0.9,1,1,1,1
1,1,1,1,1
1.1,1,1,1,1
1.2,1,1,1,1
1.3,1,1,1,1
1.4,1,1,1,1
1.5,1,1,1,1
1.6,1,1,1,1
1.7,1,1,1,1
1.8,1,1,1,1
1.9,1,1,1,1
2,1,1,1,1
2.1,1,1,1,1
2.2,1,1,1,1
2.3,1,1,1,1
2.4,1,1,1,1
2.5,1,1,1,1
2.6,1,1,1,1
2.7,1,1,1,1
2.8,1,1,1,1
2.9,1,1,1,1
3,1,1,1,1
3.1,1,1,1,1
3.2,1,1,1,1
3.3,1,1,1,1
3.4,1,1,1,1
3.5,1,1,1,1
3.6,1,1,1,1
3.7,1,1,1,1
3.8,1,1,1,1
3.9,1,1,1,1
4,1,1,1,1
4.1,1,1,1,1
4.2,1,1,1,0.999
4.3,1,1,1,0.999
4.4,1,1,1,0.999
4.5,1,1,1,1
4.6,1,1,1,1
4.7,1,1,1,1
4.8,1,1,1,1
4.9,1,1,1,0.998
5,1,1,1,1
5.1,1,1,1,1
5.2,1,1,1,0.999
5.3,1,1,1,0.998
5.4,1,1,1,1
5.5,1,1,1,0.999
5.6,1,1,1,0.999
5.7,1,1,1,0.999
5.8,1,1,1,0.999
5.9,1,1,1,0.998
6,1,1,1,0.999
6.1,1,1,1,1
6.2,1,1,1,0.997
6.3,1,1,1,0.999
6.4,1,1,1,0.999
6.5,1,1,1,0.994
6.6,0.989,1,0.995,0.984
6.7,0.989,0.989,0.989,0.968
6.8,0.978,0.978,0.978,0.95
6.9,0.978,0.989,0.984,0.944
7,0.978,0.978,0.978,0.934
7.1,0.978,0.978,0.978,0.923
7.2,0.978,0.978,0.978,0.916
7.3,0.978,0.968,0.973,0.911
7.4,0.978,0.978,0.978,0.911
7.5,0.978,0.978,0.978,0.91
7.6,0.957,0.968,0.962,0.902
7.7,0.968,0.968,0.968,0.899
7.8,0.968,0.957,0.962,0.891
7.9,0.968,0.957,0.962,0.884
8,0.957,0.957,0.957,0.88
8.1,0.946,0.957,0.951,0.873
8.2,0.946,0.946,0.946,0.87
8.3,0.946,0.946,0.946,0.873
8.4,0.946,0.946,0.946,0.867
8.5,0.946,0.946,0.946,0.867
8.6,0.935,0.946,0.941,0.86
8.7,0.935,0.946,0.941,0.855
8.8,0.924,0.935,0.93,0.85
8.9,0.924,0.935,0.93,0.846
9,0.924,0.924,0.924,0.841
9.1,0.914,0.924,0.919,0.838
9.2,0.903,0.914,0.908,0.833
9.3,0.903,0.903,0.903,0.83
9.4,0.892,0.903,0.897,0.826
9.5,0.892,0.903,0.897,0.822
9.6,0.892,0.903,0.897,0.817
9.7,0.892,0.903,0.897,0.821
9.8,0.892,0.914,0.903,0.818
9.9,0.892,0.903,0.897,0.817
10,0.892,0.892,0.892,0.81
10.1,0.892,0.892,0.892,0.804
10.2,0.892,0.892,0.892,0.804
10.3,0.892,0.903,0.897,0.804
10.4,0.892,0.903,0.897,0.8
10.5,0.892,0.903,0.897,0.795
