rp(A),fof_Na,fof_Cl,(fof_Na+fof_Cl)/2,fof_Ow
0,1,1,1,1
0.1,1,1,1,1
0.2,1,1,1,1
0.3,1,1,1,1
0.4,1,1,1,1
0.5,1,1,1,1
0.6,1,1,1,1
0.7,1,1,1,1
0.8,1,1,1,1
0.9,1,1,1,1
1,1,1,1,1
1.1,1,1,1,1
1.2,1,1,1,1
1.3,1,1,1,1
1.4,1,1,1,1
1.5,1,1,1,1
1.6,1,1,1,1
1.7,1,1,1,1
1.8,1,1,1,1
1.9,1,1,1,1
2,1,1,1,1
2.1,1,1,1,1
2.2,1,1,1,1
2.3,1,1,1,1
2.4,1,1,1,1
2.5,1,1,1,1
2.6,1,1,1,1
2.7,1,1,1,1
2.8,1,1,1,1
2.9,1,1,1,1
3,1,1,1,1
3.1,1,1,1,1
3.2,1,1,1,1
3.3,1,1,1,1
3.4,1,1,1,1
3.5,1,1,1,1
3.6,1,1,1,1
3.7,1,1,1,1
3.8,1,1,1,1
3.9,1,1,1,1
4,1,1,1,1
4.1,1,1,1,1
4.2,1,1,1,1
4.3,1,1,1,1
4.4,1,1,1,1
4.5,1,1,1,1
4.6,1,1,1,1
4.7,1,1,1,1
4.8,1,1,1,1
4.9,1,1,1,1
5,1,1,1,1
5.1,1,1,1,1
5.2,1,1,1,1
5.3,1,1,1,0.999
5.4,1,1,1,0.999
5.5,1,1,1,1
5.6,1,1,1,1
5.7,1,1,1,0.999
5.8,1,1,1,0.998
5.9,1,1,1,0.999
6,1,1,1,0.999
6.1,1,1,1,0.998
6.2,1,1,1,1
6.3,1,1,1,1
6.4,1,1,1,0.999
6.5,1,1,1,0.999
6.6,1,1,1,0.999
6.7,1,1,1,0.999
6.8,1,1,1,0.998
6.9,1,1,1,1
7,1,1,1,0.996
7.1,1,1,1,0.999
7.2,1,1,1,0.998
7.3,1,1,1,0.998
7.4,1,1,1,0.989
7.5,0.989,0.989,0.989,0.975
7.6,0.978,0.978,0.978,0.953
7.7,0.978,0.978,0.978,0.944
7.8,0.978,0.978,0.978,0.933
7.9,0.978,0.978,0.978,0.925
8,0.957,0.968,0.962,0.912
8.1,0.946,0.957,0.951,0.906
8.2,0.946,0.957,0.951,0.897
8.3,0.946,0.946,0.946,0.886
8.4,0.946,0.946,0.946,0.883
8.5,0.946,0.946,0.946,0.887
8.6,0.946,0.946,0.946,0.877
8.7,0.946,0.946,0.946,0.875
8.8,0.935,0.946,0.941,0.87
8.9,0.924,0.935,0.93,0.869
9,0.914,0.924,0.919,0.861
9.1,0.903,0.924,0.914,0.856
9.2,0.903,0.914,0.908,0.852
9.3,0.903,0.914,0.908,0.845
9.4,0.903,0.903,0.903,0.834
9.5,0.903,0.914,0.908,0.835
9.6,0.903,0.903,0.903,0.832
9.7,0.903,0.903,0.903,0.826
9.8,0.903,0.903,0.903,0.823
9.9,0.903,0.903,0.903,0.824
10,0.903,0.903,0.903,0.823
10.1,0.892,0.903,0.897,0.818
10.2,0.892,0.903,0.897,0.816
10.3,0.892,0.892,0.892,0.813
10.4,0.892,0.892,0.892,0.81
10.5,0.892,0.892,0.892,0.809
10.6,0.892,0.892,0.892,0.807
10.7,0.892,0.892,0.892,0.806
10.8,0.892,0.892,0.892,0.806
